Neighbourhood,TTC Stops,Road Volume
West Humber-Clairville,338,5956.638889
Islington-City Centre West,245,5704.939394
York University Heights,235,5546.25
Rouge,199,5391
Wexford/Maryvale,182,4750.642857
Malvern,180,4656.6
Downsview-Roding-CFB,166,4599.75
Milliken,160,4300.913043
Yorkdale-Glen Park,155,4193.75
St.Andrew-Windfields,151,3917.571429
Woburn,139,3898.416667
L'Amoreaux,138,3766.772727
Dovercourt-Wallace Emerson-Juncti,137,3601
Clairlea-Birchmount,129,3598
Banbury-Don Mills,128,3595.5
Mimico,126,3539.25
Yonge-Eglinton,67,2994.571429
Centennial Scarborough,44,2825.888889
Scarborough Village,29,2482.52381
Etobicoke West Mall,27,2111.6
